Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login and Switch Org,Chrome 138.0.7204.94,,,14-07-2025 15:10:53,14-07-2025 15:11:42,49.152s,PASSED
,,,,,,,
Test Cases/Login,Chrome 138.0.7204.94,,,14-07-2025 15:10:54,14-07-2025 15:11:05,11.114s,PASSED
"openBrowser("""")",Chrome 138.0.7204.94,,,14-07-2025 15:10:54,14-07-2025 15:10:59,4.630s,PASSED
navigateToUrl(G_SiteURL),Chrome 138.0.7204.94,,,14-07-2025 15:10:59,14-07-2025 15:11:00,0.929s,PASSED
maximizeWindow(),Chrome 138.0.7204.94,,,14-07-2025 15:11:00,14-07-2025 15:11:00,0.091s,PASSED
"setText(findTestObject(""Object Repository/Page_IBEX Payroll - Login/input_Username_Input.Username""), ""uat.dstewart"")",Chrome 138.0.7204.94,,,14-07-2025 15:11:00,14-07-2025 15:11:01,0.884s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_IBEX Payroll - Login/input_Show Password_Input.Password""), ""p4y+y39Ir5Oy1MY8jPt0uQ=="")",Chrome 138.0.7204.94,,,14-07-2025 15:11:01,14-07-2025 15:11:01,0.383s,PASSED
"click(findTestObject(""Object Repository/Page_IBEX Payroll - Login/input_Remember me_Input.Button""))",Chrome 138.0.7204.94,,,14-07-2025 15:11:01,14-07-2025 15:11:05,3.753s,PASSED
,,,,,,,
Test Cases/Switch Org,Chrome 138.0.7204.94,,,14-07-2025 15:11:05,14-07-2025 15:11:07,2.096s,PASSED
navigateToUrl(G_PayrollPage),Chrome 138.0.7204.94,,,14-07-2025 15:11:05,14-07-2025 15:11:05,0.346s,PASSED
"click(findTestObject(""Object Repository/Switch_Org/Page_IBEX Payroll - Home/a_swap_horiz Switch SetupSimpleDialog(orgCo_55ee7d""))",Chrome 138.0.7204.94,,,14-07-2025 15:11:05,14-07-2025 15:11:06,0.539s,PASSED
"click(findTestObject(""Object Repository/Switch_Org/Page_IBEX Payroll - Home/a_Anns Test Org""))",Chrome 138.0.7204.94,,,14-07-2025 15:11:06,14-07-2025 15:11:07,1.093s,PASSED
,,,,,,,
Test Cases/Logout and Close Browser,Chrome 138.0.7204.94,,,14-07-2025 15:11:07,14-07-2025 15:11:42,35.290s,PASSED
navigateToUrl(G_HomePage),Chrome 138.0.7204.94,,,14-07-2025 15:11:07,14-07-2025 15:11:07,0.248s,PASSED
"click(findTestObject(""Object Repository/Page_IBEX Payroll - Home/div_Darryl Stewart                         _2173f8""))",Chrome 138.0.7204.94,,,14-07-2025 15:11:07,14-07-2025 15:11:08,0.515s,PASSED
"click(findTestObject(""Object Repository/Page_IBEX Payroll - Home/a_exit_to_app Log Out""))",Chrome 138.0.7204.94,,,14-07-2025 15:11:08,14-07-2025 15:11:41,32.864s,PASSED
closeBrowser(),Chrome 138.0.7204.94,,,14-07-2025 15:11:41,14-07-2025 15:11:42,1.546s,PASSED
