Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Departments_CustomFieldSettings,Chrome 138.0.7204.101,,,21-07-2025 15:28:52,21-07-2025 15:29:58,1m - 5.390s,PASSED
,,,,,,,
Test Cases/Departments/TC01_SH_LoginAndNavigate,Chrome 138.0.7204.101,login and switch org,,21-07-2025 15:28:53,21-07-2025 15:29:37,43.974s,PASSED
"callTestCase(findTestCase(""Shared/Login""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.101,,,21-07-2025 15:28:53,21-07-2025 15:29:06,13.176s,PASSED
"callTestCase(findTestCase(""Shared/Navigate(Switch Org)""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.101,,,21-07-2025 15:29:06,21-07-2025 15:29:37,30.481s,PASSED
,,,,,,,
Test Cases/Departments/TC02_VerifyManageDepartmentFields,Chrome 138.0.7204.101,Check button existence & navigation,,21-07-2025 15:29:37,21-07-2025 15:29:44,6.776s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Home/div_Darryl Stewart                         _d15389""))",Chrome 138.0.7204.101,,,21-07-2025 15:29:37,21-07-2025 15:29:37,0.290s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Home/a_business Organization Details""))",Chrome 138.0.7204.101,,,21-07-2025 15:29:37,21-07-2025 15:29:38,1.186s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Organization Detail/a_Payroll Departments""))",Chrome 138.0.7204.101,,,21-07-2025 15:29:38,21-07-2025 15:29:40,2.000s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Organization Payroll De_204c37/a_Manage Department Fields""))",Chrome 138.0.7204.101,,,21-07-2025 15:29:40,21-07-2025 15:29:44,3.255s,PASSED
,,,,,,,
Test Cases/Departments/TC03_VerifyCustomFieldOptions,Chrome 138.0.7204.101,Check UI shows two custom field options,,21-07-2025 15:29:44,21-07-2025 15:29:51,7.619s,PASSED
"findWebElement(findTestObject(""Object Repository/Departments/TC03_VerifyCustomFieldOotions/Page_IBEX Payroll - Manage Department Field/label_Custom Department Field 1""))",Chrome 138.0.7204.101,,,21-07-2025 15:29:44,21-07-2025 15:29:47,3.618s,PASSED
"findWebElement(findTestObject(""Object Repository/Departments/TC03_VerifyCustomFieldOotions/Page_IBEX Payroll - Manage Department Field/label_Custom Department Field 2""))",Chrome 138.0.7204.101,,,21-07-2025 15:29:47,21-07-2025 15:29:51,3.945s,PASSED
,,,,,,,
Test Cases/Departments/TC04_CheckboxBehavior,Chrome 138.0.7204.101,Ensure checkboxes can be toggled freely,,21-07-2025 15:29:51,21-07-2025 15:29:53,1.406s,PASSED
"click(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field Settings_fiel_da0194""))",Chrome 138.0.7204.101,,,21-07-2025 15:29:51,21-07-2025 15:29:52,0.290s,PASSED
"verifyElementChecked(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field Settings_fiel_da0194""), 0)",Chrome 138.0.7204.101,,,21-07-2025 15:29:52,21-07-2025 15:29:52,0.261s,PASSED
"click(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field02Enabled""))",Chrome 138.0.7204.101,,,21-07-2025 15:29:52,21-07-2025 15:29:52,0.293s,PASSED
"verifyElementChecked(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field02Enabled""), 0)",Chrome 138.0.7204.101,,,21-07-2025 15:29:52,21-07-2025 15:29:52,0.254s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field01Value""))",Chrome 138.0.7204.101,,,21-07-2025 15:29:52,21-07-2025 15:29:53,0.252s,PASSED
,,,,,,,
Test Cases/Departments/TC05_Validation_Fields_Empty,Chrome 138.0.7204.101,save validations,,21-07-2025 15:29:53,21-07-2025 15:29:55,2.169s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC06_Validation_Fields_ExceedsLimit/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field01Value""), """")",Chrome 138.0.7204.101,,,21-07-2025 15:29:53,21-07-2025 15:29:53,0.560s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC06_Validation_Fields_ExceedsLimit/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 2_field02Value""), """")",Chrome 138.0.7204.101,,,21-07-2025 15:29:53,21-07-2025 15:29:54,0.526s,PASSED
"click(findTestObject(""Object Repository/Departments/TC06_Validation_Fields_ExceedsLimit/Page_IBEX Payroll - Manage Department Field/button_Save""))",Chrome 138.0.7204.101,,,21-07-2025 15:29:54,21-07-2025 15:29:54,0.291s,PASSED
"verifyTextPresent(G_validation_Field1_Empty, false)",Chrome 138.0.7204.101,,,21-07-2025 15:29:54,21-07-2025 15:29:54,0.484s,PASSED
"verifyTextPresent(G_validation_Field2_Empty, false)",Chrome 138.0.7204.101,,,21-07-2025 15:29:54,21-07-2025 15:29:55,0.250s,PASSED
,,,,,,,
Test Cases/Departments/TC06_Validation_Fields_ExceedsLimit,Chrome 138.0.7204.101,Custom field validation on input length/symbols,,21-07-2025 15:29:55,21-07-2025 15:29:57,2.506s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC05_Validation_Fields_Empty/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field01Value""), G_LongTextInput)",Chrome 138.0.7204.101,,,21-07-2025 15:29:55,21-07-2025 15:29:55,0.620s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC05_Validation_Fields_Empty/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 2_field02Value""), G_LongTextInput)",Chrome 138.0.7204.101,,,21-07-2025 15:29:55,21-07-2025 15:29:56,0.824s,PASSED
