Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyTextPresent(G_validation_Field2_Empty, false)",Chrome 138.0.7204.101,,,19-07-2025 00:19:26,19-07-2025 00:19:26,0.256s,PASSED
,,,,,,,
Test Cases/Departments/TC06_Validation_Fields_ExceedsLimit,Chrome 138.0.7204.101,Custom field validation on input length/symbols,,19-07-2025 00:19:26,19-07-2025 00:19:29,2.510s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC05_Validation_Fields_Empty/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field01Value""), G_LongTextInput)",Chrome 138.0.7204.101,,,19-07-2025 00:19:27,19-07-2025 00:19:27,0.615s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC05_Validation_Fields_Empty/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 2_field02Value""), G_LongTextInput)",Chrome 138.0.7204.101,,,19-07-2025 00:19:27,19-07-2025 00:19:28,0.832s,PASSED
"click(findTestObject(""Object Repository/Departments/TC05_Validation_Fields_Empty/Page_IBEX Payroll - Manage Department Field/button_Save""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:28,19-07-2025 00:19:28,0.503s,PASSED
"verifyTextPresent(G_Validation_Field1_ExceedsLimit, false)",Chrome 138.0.7204.101,,,19-07-2025 00:19:28,19-07-2025 00:19:29,0.251s,PASSED
"verifyTextPresent(G_Validation_Field2_ExceedsLimit, false)",Chrome 138.0.7204.101,,,19-07-2025 00:19:29,19-07-2025 00:19:29,0.253s,PASSED
,,,,,,,
Test Cases/Departments/TC07_Validation_Fields_SpecialChars,Chrome 138.0.7204.101,"validation if Field 1 & 2 has invalid special characters like %, {",,19-07-2025 00:19:29,19-07-2025 00:19:32,3.211s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC07_validation_Fields_SpecialChars/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field01Value""), """")",Chrome 138.0.7204.101,,,19-07-2025 00:19:29,19-07-2025 00:19:30,0.532s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC07_validation_Fields_SpecialChars/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 2_field02Value""), """")",Chrome 138.0.7204.101,,,19-07-2025 00:19:30,19-07-2025 00:19:30,0.542s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC07_validation_Fields_SpecialChars/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field01Value""), ""%<>{}"")",Chrome 138.0.7204.101,,,19-07-2025 00:19:30,19-07-2025 00:19:31,0.551s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC07_validation_Fields_SpecialChars/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 2_field02Value""), ""#[]~"")",Chrome 138.0.7204.101,,,19-07-2025 00:19:31,19-07-2025 00:19:31,0.540s,PASSED
"click(findTestObject(""Object Repository/Departments/TC07_validation_Fields_SpecialChars/Page_IBEX Payroll - Manage Department Field/button_Save""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:31,19-07-2025 00:19:31,0.280s,PASSED
"verifyTextPresent(G_Validation_Field1_SpecialChars, false)",Chrome 138.0.7204.101,,,19-07-2025 00:19:31,19-07-2025 00:19:32,0.471s,PASSED
"verifyTextPresent(G_Validation_Field2_SpecialChars, false)",Chrome 138.0.7204.101,,,19-07-2025 00:19:32,19-07-2025 00:19:32,0.248s,PASSED
