Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Departments_CustomFieldSettings,Chrome 138.0.7204.101,,,19-07-2025 00:18:19,19-07-2025 00:19:33,1m - 13.667s,PASSED
,,,,,,,
Test Cases/Departments/TC01_SH_LoginAndNavigate,Chrome 138.0.7204.101,login and switch org,,19-07-2025 00:18:19,19-07-2025 00:19:05,45.718s,PASSED
"callTestCase(findTestCase(""Shared/Login""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.101,,,19-07-2025 00:18:20,19-07-2025 00:18:35,14.921s,PASSED
"callTestCase(findTestCase(""Shared/Navigate(Switch Org)""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.101,,,19-07-2025 00:18:35,19-07-2025 00:19:05,30.449s,PASSED
,,,,,,,
Test Cases/Departments/TC02_VerifyManageDepartmentFields,Chrome 138.0.7204.101,Check button existence & navigation,,19-07-2025 00:19:05,19-07-2025 00:19:13,7.564s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Home/div_Darryl Stewart                         _d15389""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:05,19-07-2025 00:19:05,0.291s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Home/a_business Organization Details""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:05,19-07-2025 00:19:07,1.198s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Organization Detail/a_Payroll Departments""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:07,19-07-2025 00:19:08,1.864s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Organization Payroll De_204c37/a_Manage Department Fields""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:08,19-07-2025 00:19:13,4.167s,PASSED
,,,,,,,
Test Cases/Departments/TC03_VerifyCustomFieldOptions,Chrome 138.0.7204.101,Check UI shows two custom field options,,19-07-2025 00:19:13,19-07-2025 00:19:23,10.091s,PASSED
"findWebElement(findTestObject(""Object Repository/Departments/TC03_VerifyCustomFieldOotions/Page_IBEX Payroll - Manage Department Field/label_Custom Department Field 1""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:13,19-07-2025 00:19:16,3.250s,PASSED
"findWebElement(findTestObject(""Object Repository/Departments/TC03_VerifyCustomFieldOotions/Page_IBEX Payroll - Manage Department Field/label_Custom Department Field 2""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:16,19-07-2025 00:19:23,6.786s,PASSED
,,,,,,,
Test Cases/Departments/TC04_CheckboxBehavior,Chrome 138.0.7204.101,Ensure checkboxes can be toggled freely,,19-07-2025 00:19:23,19-07-2025 00:19:24,1.455s,PASSED
"click(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field Settings_fiel_da0194""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:23,19-07-2025 00:19:23,0.301s,PASSED
"verifyElementChecked(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field Settings_fiel_da0194""), 0)",Chrome 138.0.7204.101,,,19-07-2025 00:19:23,19-07-2025 00:19:23,0.270s,PASSED
"click(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field02Enabled""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:23,19-07-2025 00:19:24,0.303s,PASSED
"verifyElementChecked(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field02Enabled""), 0)",Chrome 138.0.7204.101,,,19-07-2025 00:19:24,19-07-2025 00:19:24,0.257s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field01Value""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:24,19-07-2025 00:19:24,0.267s,PASSED
,,,,,,,
Test Cases/Departments/TC05_Validation_Fields_Empty,Chrome 138.0.7204.101,save validations,,19-07-2025 00:19:24,19-07-2025 00:19:26,2.241s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC06_Validation_Fields_ExceedsLimit/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field01Value""), """")",Chrome 138.0.7204.101,,,19-07-2025 00:19:24,19-07-2025 00:19:25,0.547s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC06_Validation_Fields_ExceedsLimit/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 2_field02Value""), """")",Chrome 138.0.7204.101,,,19-07-2025 00:19:25,19-07-2025 00:19:25,0.557s,PASSED
"click(findTestObject(""Object Repository/Departments/TC06_Validation_Fields_ExceedsLimit/Page_IBEX Payroll - Manage Department Field/button_Save""))",Chrome 138.0.7204.101,,,19-07-2025 00:19:25,19-07-2025 00:19:26,0.323s,PASSED
"verifyTextPresent(G_validation_Field1_Empty, false)",Chrome 138.0.7204.101,,,19-07-2025 00:19:26,19-07-2025 00:19:26,0.489s,PASSED
