Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Departments_CustomFieldSettings,Chrome 138.0.7204.101,,,19-07-2025 00:09:56,19-07-2025 00:11:08,1m - 11.787s,FAILED
,,,,,,,
Test Cases/Departments/TC01_SH_LoginAndNavigate,Chrome 138.0.7204.101,login and switch org,,19-07-2025 00:09:56,19-07-2025 00:10:42,46.090s,PASSED
"callTestCase(findTestCase(""Shared/Login""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.101,,,19-07-2025 00:09:57,19-07-2025 00:10:12,15.303s,PASSED
"callTestCase(findTestCase(""Shared/Navigate(Switch Org)""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.101,,,19-07-2025 00:10:12,19-07-2025 00:10:42,30.452s,PASSED
,,,,,,,
Test Cases/Departments/TC02_VerifyManageDepartmentFields,Chrome 138.0.7204.101,Check button existence & navigation,,19-07-2025 00:10:42,19-07-2025 00:10:50,7.423s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Home/div_Darryl Stewart                         _d15389""))",Chrome 138.0.7204.101,,,19-07-2025 00:10:42,19-07-2025 00:10:43,0.303s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Home/a_business Organization Details""))",Chrome 138.0.7204.101,,,19-07-2025 00:10:43,19-07-2025 00:10:44,1.202s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Organization Detail/a_Payroll Departments""))",Chrome 138.0.7204.101,,,19-07-2025 00:10:44,19-07-2025 00:10:46,1.861s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Organization Payroll De_204c37/a_Manage Department Fields""))",Chrome 138.0.7204.101,,,19-07-2025 00:10:46,19-07-2025 00:10:50,4.003s,PASSED
,,,,,,,
Test Cases/Departments/TC03_VerifyCustomFieldOptions,Chrome 138.0.7204.101,Check UI shows two custom field options,,19-07-2025 00:10:50,19-07-2025 00:10:59,8.872s,PASSED
"findWebElement(findTestObject(""Object Repository/Departments/TC03_VerifyCustomFieldOotions/Page_IBEX Payroll - Manage Department Field/label_Custom Department Field 1""))",Chrome 138.0.7204.101,,,19-07-2025 00:10:50,19-07-2025 00:10:53,3.354s,PASSED
