Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login and Switch Org,Chrome 138.0.7204.94,,,14-07-2025 15:12:47,14-07-2025 15:13:03,15.829s,PASSED
,,,,,,,
Test Cases/Login,Chrome 138.0.7204.94,,,14-07-2025 15:12:47,14-07-2025 15:12:56,8.284s,PASSED
"openBrowser("""")",Chrome 138.0.7204.94,,,14-07-2025 15:12:48,14-07-2025 15:12:52,4.247s,PASSED
navigateToUrl(G_SiteURL),Chrome 138.0.7204.94,,,14-07-2025 15:12:52,14-07-2025 15:12:54,1.846s,PASSED
maximizeWindow(),Chrome 138.0.7204.94,,,14-07-2025 15:12:54,14-07-2025 15:12:54,0.067s,PASSED
"setText(findTestObject(""Object Repository/Page_IBEX Payroll - Login/input_Username_Input.Username""), ""uat.dstewart"")",Chrome 138.0.7204.94,,,14-07-2025 15:12:54,14-07-2025 15:12:55,0.655s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_IBEX Payroll - Login/input_Show Password_Input.Password""), ""p4y+y39Ir5Oy1MY8jPt0uQ=="")",Chrome 138.0.7204.94,,,14-07-2025 15:12:55,14-07-2025 15:12:55,0.332s,PASSED
"click(findTestObject(""Object Repository/Page_IBEX Payroll - Login/input_Remember me_Input.Button""))",Chrome 138.0.7204.94,,,14-07-2025 15:12:55,14-07-2025 15:12:56,0.734s,PASSED
,,,,,,,
Test Cases/Switch Org,Chrome 138.0.7204.94,,,14-07-2025 15:12:56,14-07-2025 15:12:59,3.334s,PASSED
navigateToUrl(G_PayrollPage),Chrome 138.0.7204.94,,,14-07-2025 15:12:56,14-07-2025 15:12:57,1.630s,PASSED
"click(findTestObject(""Object Repository/Switch_Org/Page_IBEX Payroll - Home/a_swap_horiz Switch SetupSimpleDialog(orgCo_55ee7d""))",Chrome 138.0.7204.94,,,14-07-2025 15:12:57,14-07-2025 15:12:58,0.548s,PASSED
"click(findTestObject(""Object Repository/Switch_Org/Page_IBEX Payroll - Home/a_Anns Test Org""))",Chrome 138.0.7204.94,,,14-07-2025 15:12:58,14-07-2025 15:12:59,1.057s,PASSED
,,,,,,,
Test Cases/Logout and Close Browser,Chrome 138.0.7204.94,,,14-07-2025 15:12:59,14-07-2025 15:13:03,3.583s,PASSED
navigateToUrl(G_HomePage),Chrome 138.0.7204.94,,,14-07-2025 15:12:59,14-07-2025 15:12:59,0.256s,PASSED
"click(findTestObject(""Object Repository/Page_IBEX Payroll - Home/div_Darryl Stewart                         _2173f8""))",Chrome 138.0.7204.94,,,14-07-2025 15:12:59,14-07-2025 15:13:00,0.515s,PASSED
"click(findTestObject(""Object Repository/Page_IBEX Payroll - Home/a_exit_to_app Log Out""))",Chrome 138.0.7204.94,,,14-07-2025 15:13:00,14-07-2025 15:13:01,0.993s,PASSED
closeBrowser(),Chrome 138.0.7204.94,,,14-07-2025 15:13:01,14-07-2025 15:13:03,1.716s,PASSED
