Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Departments_CustomFieldSettings,Chrome 138.0.7204.101,,,18-07-2025 22:52:58,18-07-2025 22:55:09,2m - 10.913s,FAILED
,,,,,,,
Test Cases/Departments/TC01_SH_LoginAndNavigate,Chrome 138.0.7204.101,login and switch org,,18-07-2025 22:52:58,18-07-2025 22:53:46,47.395s,PASSED
"callTestCase(findTestCase(""Shared/Login""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.101,,,18-07-2025 22:52:59,18-07-2025 22:53:15,16.594s,PASSED
"callTestCase(findTestCase(""Shared/Navigate(Switch Org)""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.101,,,18-07-2025 22:53:15,18-07-2025 22:53:46,30.477s,PASSED
,,,,,,,
Test Cases/Departments/TC02_VerifyManageDepartmentFields,Chrome 138.0.7204.101,Check button existence & navigation,,18-07-2025 22:53:46,18-07-2025 22:53:56,9.798s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Home/div_Darryl Stewart                         _d15389""))",Chrome 138.0.7204.101,,,18-07-2025 22:53:46,18-07-2025 22:53:46,0.297s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Home/a_business Organization Details""))",Chrome 138.0.7204.101,,,18-07-2025 22:53:46,18-07-2025 22:53:47,1.251s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Organization Detail/a_Payroll Departments""))",Chrome 138.0.7204.101,,,18-07-2025 22:53:47,18-07-2025 22:53:49,1.897s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Organization Payroll De_204c37/a_Manage Department Fields""))",Chrome 138.0.7204.101,,,18-07-2025 22:53:49,18-07-2025 22:53:56,6.310s,PASSED
,,,,,,,
Test Cases/Departments/TC03_VerifyCustomFieldOptions,Chrome 138.0.7204.101,Check UI shows two custom field options,,18-07-2025 22:53:56,18-07-2025 22:54:17,21.862s,PASSED
"findWebElement(findTestObject(""Object Repository/Departments/TC03_VerifyCustomFieldOotions/Page_IBEX Payroll - Manage Department Field/label_Custom Department Field 1""))",Chrome 138.0.7204.101,,,18-07-2025 22:53:56,18-07-2025 22:53:59,3.696s,PASSED
"findWebElement(findTestObject(""Object Repository/Departments/TC03_VerifyCustomFieldOotions/Page_IBEX Payroll - Manage Department Field/label_Custom Department Field 2""))",Chrome 138.0.7204.101,,,18-07-2025 22:53:59,18-07-2025 22:54:17,18.126s,PASSED
,,,,,,,
Test Cases/Departments/TC04_CheckboxBehavior,Chrome 138.0.7204.101,Ensure checkboxes can be toggled freely,,18-07-2025 22:54:17,18-07-2025 22:54:19,1.440s,PASSED
"click(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field Settings_fiel_da0194""))",Chrome 138.0.7204.101,,,18-07-2025 22:54:17,18-07-2025 22:54:18,0.304s,PASSED
"verifyElementChecked(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field Settings_fiel_da0194""), 0)",Chrome 138.0.7204.101,,,18-07-2025 22:54:18,18-07-2025 22:54:18,0.264s,PASSED
"click(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field02Enabled""))",Chrome 138.0.7204.101,,,18-07-2025 22:54:18,18-07-2025 22:54:18,0.304s,PASSED
"verifyElementChecked(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field02Enabled""), 0)",Chrome 138.0.7204.101,,,18-07-2025 22:54:18,18-07-2025 22:54:19,0.250s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Departments/TC04_CheckboxBehavior/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field01Value""))",Chrome 138.0.7204.101,,,18-07-2025 22:54:19,18-07-2025 22:54:19,0.272s,PASSED
,,,,,,,
Test Cases/Departments/TC05_Validation_Fields_ExceedsLimit,Chrome 138.0.7204.101,Custom field validation on input length/symbols,,18-07-2025 22:54:19,18-07-2025 22:54:21,2.569s,PASSED
