Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Departments_CustomFieldSettings,Chrome 138.0.7204.101,,,21-07-2025 20:03:54,21-07-2025 20:05:15,1m - 20.154s,FAILED
,,,,,,,
Test Cases/Departments/TC01_SH_LoginAndNavigate,Chrome 138.0.7204.101,login and switch org,,21-07-2025 20:03:55,21-07-2025 20:04:28,32.634s,PASSED
"callTestCase(findTestCase(""Shared/SH_Login""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.101,,,21-07-2025 20:03:55,21-07-2025 20:04:05,9.991s,PASSED
"callTestCase(findTestCase(""Shared/SH_Navigate(Switch Org)""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.101,,,21-07-2025 20:04:05,21-07-2025 20:04:28,22.347s,PASSED
,,,,,,,
Test Cases/Departments/TC02_VerifyManageDepartmentFields,Chrome 138.0.7204.101,Check button existence & navigation,,21-07-2025 20:04:28,21-07-2025 20:04:35,7.422s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Home/div_Darryl Stewart                         _d15389""))",Chrome 138.0.7204.101,,,21-07-2025 20:04:28,21-07-2025 20:04:28,0.281s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Home/a_business Organization Details""))",Chrome 138.0.7204.101,,,21-07-2025 20:04:28,21-07-2025 20:04:29,1.230s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Organization Detail/a_Payroll Departments""))",Chrome 138.0.7204.101,,,21-07-2025 20:04:29,21-07-2025 20:04:31,2.014s,PASSED
"click(findTestObject(""Object Repository/Departments/TC02_VerifyManageDepartmentFields/Page_IBEX Payroll - Organization Payroll De_204c37/a_Manage Department Fields""))",Chrome 138.0.7204.101,,,21-07-2025 20:04:31,21-07-2025 20:04:35,3.841s,PASSED
,,,,,,,
Test Cases/Departments/TC03_VerifyCustomFieldOptions,Chrome 138.0.7204.101,Check UI shows two custom field options,,21-07-2025 20:04:35,21-07-2025 20:04:42,6.795s,PASSED
"findWebElement(findTestObject(""Object Repository/Departments/TC03_VerifyCustomFieldOotions/Page_IBEX Payroll - Manage Department Field/label_Custom Department Field 1""))",Chrome 138.0.7204.101,,,21-07-2025 20:04:35,21-07-2025 20:04:38,3.404s,PASSED
"findWebElement(findTestObject(""Object Repository/Departments/TC03_VerifyCustomFieldOotions/Page_IBEX Payroll - Manage Department Field/label_Custom Department Field 2""))",Chrome 138.0.7204.101,,,21-07-2025 20:04:38,21-07-2025 20:04:42,3.312s,PASSED
,,,,,,,
Test Cases/Departments/TC08_Validation_Fields_ValidInput,Chrome 138.0.7204.101,Field 1 & 2 enabled and filled with valid input → should save,,21-07-2025 20:04:42,21-07-2025 20:04:43,1.541s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC08_Validation_Field1_ValidInput/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 1_field01Value""), G_Custom_Label01)",Chrome 138.0.7204.101,,,21-07-2025 20:04:42,21-07-2025 20:04:42,0.603s,PASSED
"setText(findTestObject(""Object Repository/Departments/TC08_Validation_Field1_ValidInput/Page_IBEX Payroll - Manage Department Field/input_Custom Department Field 2_field02Value""), G_Custom_label02)",Chrome 138.0.7204.101,,,21-07-2025 20:04:42,21-07-2025 20:04:43,0.581s,PASSED
"click(findTestObject(""Object Repository/Departments/TC08_Validation_Field1_ValidInput/Page_IBEX Payroll - Manage Department Field/button_Save""))",Chrome 138.0.7204.101,,,21-07-2025 20:04:43,21-07-2025 20:04:43,0.305s,PASSED
,,,,,,,
Test Cases/Departments/TC10_VerifyColumnsAfterField1Enabled,Chrome 138.0.7204.101,,,21-07-2025 20:04:43,21-07-2025 20:04:48,4.791s,PASSED
